State,Lat,Long,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
Alaska,61.370716,-152.404419,126,124,126,117,120,122,128,137,148,144,138,141
Alabama,32.806671,-86.79113,763,759,794,795,812,804,809,808,800,801,799,807
Arkansas,34.969704,-92.373123,384,380,384,386,383,398,395,406,413,410,411,425
Arizona,33.729759,-111.431221,1417,1411,1429,1418,1437,1455,1450,1468,1492,1503,1517,1555
California,36.116203,-119.681564,4771,4724,4721,4714,4761,4808,4870,4900,4973,5079,5060,5029
Colorado,39.059811,-105.311104,977,967,964,989,983,997,1013,1019,1024,1027,1046,1040
Connecticut,41.597782,-72.755371,985,994,1019,1018,1046,1056,1074,1081,1083,1092,1066,1080
District of Columbia,38.897438,-77.026817,326,342,357,375,380,384,383,377,380,371,346,348
Delaware,39.318523,-75.507141,310,309,312,313,310,313,320,327,330,339,346,342
Florida,27.766279,-81.686783,5179,5230,5287,5386,5535,5676,5602,5627,5592,5475,5415,5440
Georgia,33.040619,-83.643074,1398,1418,1436,1467,1484,1485,1493,1501,1499,1520,1506,1516
Hawaii,21.094318,-157.498337,203,190,182,180,190,188,193,188,196,199,201,202
Iowa,42.011539,-93.210526,325,330,330,319,322,332,334,338,334,338,340,341
Idaho,44.240459,-114.478828,226,232,231,235,240,231,234,235,240,236,233,234
Illinois,40.349457,-88.986137,2524,2553,2543,2513,2473,2462,2486,2560,2650,2715,2782,2766
Indiana,39.849426,-86.258278,1576,1629,1664,1700,1721,1720,1777,1762,1802,1842,1861,1835
Kansas,38.5266,-96.726486,327,324,323,317,317,301,310,297,303,316,313,323
Kentucky,37.66814,-84.670067,1480,1545,1552,1580,1583,1564,1568,1575,1566,1564,1594,1566
Louisiana,31.169546,-91.867805,1015,1010,1020,1036,1030,1016,1007,1020,1014,1015,1059,1102
Massachusetts,42.230171,-71.530106,2226,2209,2206,2173,2150,2119,2096,2124,2129,2122,2135,2171
Maryland,39.063946,-76.802101,2174,2188,2230,2265,2267,2273,2259,2250,2262,2277,2285,2284
Maine,44.693947,-69.381927,368,366,368,375,369,356,355,362,376,394,396,409
Michigan,43.326618,-84.536095,2435,2469,2491,2511,2547,2591,2630,2696,2725,2707,2708,2665
Minnesota,45.694454,-93.900192,655,652,664,668,676,685,686,698,720,727,729,728
Missouri,38.456085,-92.288368,1394,1388,1415,1403,1403,1403,1395,1392,1421,1428,1407,1398
Mississippi,32.741646,-89.678696,329,323,327,334,329,331,327,315,318,319,330,330
Montana,46.921925,-110.454353,119,131,128,125,127,124,119,117,119,123,115,118
North Carolina,35.630066,-79.806419,1974,2020,2050,2085,2109,2168,2217,2284,2352,2375,2375,2428
North Dakota,47.528912,-99.784012,81,84,80,78,80,81,83,81,77,75,74,76
Nebraska,41.12537,-98.268082,114,116,110,108,113,120,121,124,131,144,154,157
New Hampshire,43.452492,-71.563896,458,446,439,447,446,457,463,470,470,478,472,478
New Jersey,40.298904,-74.521011,2082,2111,2189,2217,2305,2397,2416,2502,2600,2565,2581,2621
New Mexico,34.840515,-106.248482,506,494,495,505,511,507,515,505,501,507,496,494
Nevada,38.313515,-117.055374,705,698,707,713,728,736,736,736,736,749,748,756
New York,42.165726,-74.948051,2289,2289,2331,2333,2401,2446,2470,2482,2534,2527,2501,2520
Ohio,40.388783,-82.764915,4502,4710,4788,4974,5144,5293,5290,5262,5258,5225,5210,5138
Oklahoma,35.565342,-96.928917,830,833,844,847,828,848,847,817,821,791,791,770
Oregon,44.572021,-122.070938,504,512,504,507,501,494,504,517,529,546,547,534
Pennsylvania,40.590752,-77.209755,4875,4960,5107,5220,5386,5508,5573,5695,5697,5642,5586,5434
Rhode Island,41.680893,-71.51178,350,340,346,339,324,320,321,326,330,332,326,332
South Carolina,33.856892,-80.945007,903,934,924,934,964,978,981,999,1020,1012,1028,1001
South Dakota,44.299782,-99.438828,75,74,70,70,75,75,75,76,75,75,76,75
Tennessee,35.747845,-86.692345,1643,1652,1691,1724,1737,1758,1745,1736,1764,1768,1760,1783
Texas,31.054487,-97.563461,2810,2813,2814,2797,2830,2840,2878,2855,2868,2879,2928,2950
Utah,40.150032,-111.862434,641,644,622,620,613,616,623,620,623,619,633,652
Virginia,37.769337,-78.169968,1392,1403,1394,1407,1415,1428,1440,1453,1438,1422,1423,1455
Vermont,44.045876,-72.710686,137,139,143,143,141,138,141,132,130,126,135,128
Washington,47.400902,-121.490494,1105,1108,1120,1097,1093,1068,1060,1065,1094,1112,1133,1168
Wisconsin,44.268543,-89.616508,1100,1104,1095,1094,1095,1131,1147,1152,1153,1176,1179,1195
West Virginia,38.491226,-80.954453,911,929,949,983,991,1007,1026,1027,1007,1013,1001,1005
Wyoming,42.755966,-107.30249,91,90,82,80,73,64,62,64,62,66,71,66
